x1,x2,x3,x4,x5,y1,y2,y3,y4,y5,X- Total,Y- total
4,3,2,3,3,4,3,3,4,3,15,17
4,4,4,4,4,4,4,5,4,4,20,21
5,5,5,5,5,5,5,5,5,5,25,25
5,5,5,5,5,4,4,4,4,4,25,20
5,5,5,5,5,5,4,4,5,5,25,23
3,3,4,4,4,4,4,5,5,5,18,23
2,2,2,2,2,4,4,3,4,4,10,19
4,4,3,4,4,4,4,3,3,4,19,18
4,4,4,4,3,5,5,3,4,4,19,21
5,5,3,4,3,3,3,3,2,3,20,14
4,4,2,2,2,3,4,3,2,3,14,15
3,2,1,1,1,5,5,1,5,1,8,17
3,3,3,3,3,4,4,4,4,4,15,20
3,3,3,3,3,2,2,2,2,2,15,10
3,3,3,3,3,3,3,3,3,3,15,15
3,3,3,3,3,1,1,1,1,1,15,5
4,4,4,4,4,3,3,3,3,3,20,15
2,2,2,3,3,3,3,3,3,3,12,15
3,3,3,3,3,2,2,2,2,2,15,10
3,3,3,3,3,5,5,5,5,5,15,25
2,2,2,2,2,3,3,3,3,3,10,15
4,4,4,4,4,4,4,4,4,4,20,20
4,4,4,4,4,4,4,4,4,4,20,20
3,3,4,3,3,2,2,2,5,2,16,13
3,3,1,1,3,2,2,2,4,3,11,13
3,3,2,2,2,3,3,3,3,3,12,15
3,3,2,2,2,3,3,3,3,3,12,15
3,3,2,2,2,3,3,3,3,3,12,15
3,3,2,2,2,3,3,3,4,3,12,16
3,3,3,3,3,3,3,3,3,3,15,15